capa_id,parameter,asset,opened,problem,root_cause,corrective_action,effectiveness,recurrence
CAPA-2231,temp,BR-12,2024-04-18,Reactor temperature exceeded 38.0 degC for 22 minutes during Omez batch,Heat-exchanger plate fouling reduced cooling capacity; coolant flow could not compensate,Cleaned heat-exchanger plate pack and reduced coolant setpoint by 4 percent during recovery; added dP trending alarm at 30 kPa,Effective - no recurrence in 14 subsequent batches,none recorded
CAPA-2244,temp,BR-12,2024-06-02,Repeated minor temperature excursions in first 6 hours of growth phase,Chiller CW-3 condenser fouling raised discharge temperature above 8 degC,Condenser cleaned and preventive cleaning interval shortened from 180 to 90 days,Effective,none recorded
CAPA-1987,ph,BR-12,2024-02-09,pH drifted to 6.55 requiring batch hold,Base dosing pump P-2 actuation lag caused under-dosing during rapid CO2 accumulation,Replaced P-2 actuator and revised SOP-PH-009 to stage dosing at 3 percent increments with QA e-signature,Effective,one minor recurrence 2024-05
CAPA-2010,ph,BR-12,2024-03-22,False pH excursion alarm traced to probe,Probe calibration drift of 18 mV exceeded acceptance criteria; probe had exceeded 14 day calibration interval,Implemented automated calibration age check and blocked dosing action when probe drift exceeds 12 mV,Effective,none recorded
CAPA-2104,press,FIL-07,2024-03-14,Differential pressure rose to 116 kPa during filtration,Progressive filter blockage; filter had exceeded validated throughput,Filter changed and throughput limit added to batch record as a mandatory check,Effective,none recorded
CAPA-2158,press,FIL-07,2024-05-07,Differential pressure excursion with normal filter condition,Gas exhaust line partially restricted by condensate accumulation,Installed condensate trap and added exhaust flow to the monitored parameter set,Effective,none recorded
CAPA-2310,cond,WFI-02,2024-06-21,WFI conductivity reached 965 uS/cm,Feed composition error - incorrect salt concentration staged against recipe,Recipe verification step added with second-person check before charging,Effective,none recorded
CAPA-2333,cond,WFI-02,2024-07-15,Gradual conductivity rise over three batches,Resin bed exhaustion - regeneration cycle count exceeded validated limit of 150,Regeneration scheduled and cycle count alarm implemented at 140 cycles,Effective,none recorded
CAPA-2056,hum,CR-A1,2024-01-25,Cleanroom RH fell to 34 percent during winter operation,Cooling coil running warm combined with low outdoor humidity,HVAC control loop retuned and humidification setpoint seasonally adjusted,Partially effective - monitoring continues,two minor recurrences winter 2024
CAPA-2401,hum,CR-A1,2024-08-30,RH spikes correlated with material transfer windows,Door open count elevated during transfer; not an equipment fault,Transfer procedure revised to stagger door openings; alarm suppressed during logged transfers,Effective,none recorded
